127.0.0.1 - - [21/Mar/2020:19:16:07 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/mainPage.sa HTTP/1.1" 200 34115
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/btn_search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/total_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_facebook_total.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_insta_total.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/btn_top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/visual1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/visual2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/visual3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/visual4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/imgProd/32_hard_Bear%20flower%20garden-purple.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/title_comingsoon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/footer_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_facebook_sm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/ico_insta_sm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:25 +0900] "GET /Semi/images/pacman2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:43 +0900] "GET /Semi/images/pacman1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/imgProd/2_tough_True%20luv-yellow(%ED%84%B0%ED%94%84%EC%8A%AC%EB%9D%BC%EC%9D%B4%EB%93%9C).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/images/ico_lock.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/images/ico_attach2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/imgProd/2_limited_cheese%20case(jelly).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/images/ico_re.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/imgProd/2_clearj_True%20luv-red(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/board/product/list.sa?boardNo=2 HTTP/1.1" 200 42267
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/imgProd/1_limited_Cookies%20case(jelly).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/imgProd/8_tough_Eyes%20square-green(%ED%84%B0%ED%94%84%EC%8A%AC%EB%9D%BC%EC%9D%B4%EB%93%9C).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/images/btn_write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:16:45 +0900] "GET /Semi/images/btn_search.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/board/product/list.sa?boardNo=3 HTTP/1.1" 200 42879
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/Santa%20big%20bear-ivory.jpg HTTP/1.1" 200 91214
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/9_clearj_Read%20intensively(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 76251
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/3_clearj_Eyes%20bear(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 61675
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/16_clearj_Animal%20friends(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 54428
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/14_clearj_Dot%20love%20and%20bear(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 71666
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:18 +0900] "GET /Semi/imgProd/7_clearj_Check%20kids%20bear(%EC%A0%A4%EB%A6%AC).jpg HTTP/1.1" 200 82780
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/board/product/content.sa?boardNo=3&idx=48&prodcode= HTTP/1.1" 200 33142
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/images/none HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/images/pexels-photo-3107165.jpeg HTTP/1.1" 404 1160
0:0:0:0:0:0:0:1 - - [21/Mar/2020:19:17:22 +0900] "GET /Semi/board/product/commentList.sa?revidx=48 HTTP/1.1" 200 11
